Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,523.60
2010,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,741.37
2011,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,498.16
2011,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,775.11
2012,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,479.06
2012,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,709.66
2013,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,467.69
2013,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,727.44
2014,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,459.33
2014,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,664.11
2015,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,466.67
2015,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,800.60
2016,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,471.24
2016,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,740.09
2017,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,484.09
2017,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,749.99
2018,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,485.62
2018,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,809.32
2019,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,483.39
2019,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,737.69
2020,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,472.73
2020,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,572.26
2021,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,494.10
2021,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,601.70
2022,UNIDAD_MEDIDA.KG_PER_CAPITA,ES,492.40
2022,UNIDAD_MEDIDA.KG_PER_CAPITA,ES53,656.53
