Year,Units,general.territorio,Serie,general.series,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2010,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2011,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2012,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2013,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2014,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2015,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2016,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2017,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2018,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
2019,UNIDAD_MEDIDA.PT,ES53,SERIE.SERIE_A,SERIES.SE_ACS_ELECT,100.00
