Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.ACTIVIDAD,Value
2020,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,2.04
2021,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,465.98
2021,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_01,1.93
2010,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,17.52
2010,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,11.70
2011,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,16.93
2011,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,12.58
2012,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,16.89
2012,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,12.41
2013,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,17.01
2013,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,11.70
2014,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,17.87
2014,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,11.56
2015,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,18.09
2015,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,10.64
2016,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,18.17
2016,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,10.52
2017,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,18.72
2017,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,10.27
2018,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,18.63
2018,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,10.23
2019,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,18.39
2019,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,10.31
2020,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,18.93
2020,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,10.61
2021,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,18.41
2021,UNIDAD_MEDIDA.KG,ES53,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_01,10.07
2010,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,236.78
2010,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.13
2011,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,227.46
2011,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.20
2012,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,225.53
2012,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.17
2013,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,230.75
2013,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.12
2014,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,248.27
2014,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.20
2015,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,247.58
2015,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.02
2016,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,246.15
2016,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.01
2017,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,258.85
2017,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.12
2018,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,250.06
2018,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.06
2019,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,243.83
2019,UNIDAD_MEDIDA.KT,ES53,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_02,1.04
